sensor id  | sensor name      | value      | unit         | status | lnr        | lc         | lnc        | unc      | uc         | unr        | phys   | nhys  
0x87       | DISK4            | 0x0        | discrete     | 0x8001 | na         | na         | na         | na       | na         | na         | na     | na    
0x88       | DISK5            | 0x0        | discrete     | 0x8001 | na         | na         | na         | na       | na         | na         | na     | na    
0x89       | DISK6            | 0x0        | discrete     | 0x8001 | na         | na         | na         | na       | na         | na         | na     | na    
0x8a       | DISK7            | 0x0        | discrete     | 0x8001 | na         | na         | na         | na       | na         | na         | na     | na    
0x8b       | DISK8            | 0x0        | discrete     | 0x8001 | na         | na         | na         | na       | na         | na         | na     | na    
0x8c       | DISK9            | 0x0        | discrete     | 0x8001 | na         | na         | na         | na       | na         | na         | na     | na    
0x8d       | DISK10           | 0x0        | discrete     | 0x8001 | na         | na         | na         | na       | na         | na         | na     | na    
0x8e       | DISK11           | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x8f       | DISK40           | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x90       | DISK41           | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x91       | DISK42           | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x92       | DISK43           | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x93       | NIC1-1 Link Down | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x94       | NIC1-2 Link Down | 0x0        | discrete     | 0x8100 | na         | na         | na         | na       | na         | na         | na     | na    
0x95       | NIC1-3 Link Down | 0x0        | discrete     | 0x8100 | na         | na         | na         | na       | na         | na         | na     | na    
0x96       | NIC1-4 Link Down | 0x0        | discrete     | 0x8100 | na         | na         | na         | na       | na         | na         | na     | na    
0x97       | NIC2-1 Link Down | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x98       | NIC2-2 Link Down | 0x0        | discrete     | 0x8100 | na         | na         | na         | na       | na         | na         | na     | na    
0x99       | NIC2-3 Link Down | 0x0        | discrete     | 0x8100 | na         | na         | na         | na       | na         | na         | na     | na    
0x9a       | NIC2-4 Link Down | 0x0        | discrete     | 0x8100 | na         | na         | na         | na       | na         | na         | na     | na    
0x9b       | PS1 Status       | 0x0        | discrete     | 0x8001 | na         | na         | na         | na       | na         | na         | na     | na    
0x9c       | PS1 Fan Status   | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x9d       | PS1 Temp Status  | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x9e       | PS2 Status       | 0x0        | discrete     | 0x8001 | na         | na         | na         | na       | na         | na         | na     | na    
0x9f       | PS2 Fan Status   | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0xa0       | PS2 Temp Status  | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0xa1       | RTC Battery      | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0xa2       | FAN1 Status      | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0xa3       | FAN2 Status      | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0xa4       | FAN3 Status      | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0xa5       | FAN4 Status      | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0xa6       | FAN1 Presence    | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0xa7       | FAN2 Presence    | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0xa8       | FAN3 Presence    | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0xa9       | FAN4 Presence    | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    

********** Detailed Voltage Object Information **********
name                             | value     
rtc_volt_monitor                 | 110       
vcc_12v0_monitor                 | 111       
vcc_12v0_monitor2                | 112       
vcc_12v0_monitor3                | 112       
vcc_12v0_monitor4                | 113       
vcc_12v0_monitor5                | 112       
cpu1mem012_volt_monitor          | 123       
cpu1mem345_volt_monitor          | 122       
cpu2mem012_volt_monitor          | 123       
cpu2mem345_volt_monitor          | 122       
cpu1_vsa_volt_monitor            | 89        
cpu2_vsa_volt_monitor            | 93        
cpu1_vddfix_volt_monitor         | 79        
cpu2_vddfix_volt_monitor         | 79        
